,IA,IB,IC,IZ,eA,eB,eC
1233,-7.92,0.39,6.82,-0.7,0.12,0.03,-0.14
1234,-9.03,2.58,5.17,-1.27,0.13,0.02,-0.14
1235,-10.69,5.32,4.63,-0.75,0.13,0.02,-0.14
1236,-11.81,8.05,2.98,-0.78,0.14,0.01,-0.14
1237,-12.36,9.15,0.23,-2.99,0.14,0.01,-0.13
1238,-14.03,11.88,-0.32,-2.47,0.14,0.0,-0.13
1239,-15.7,14.62,-0.32,-1.4,0.13,0.0,-0.12
1240,-18.47,16.81,-1.42,-3.09,0.12,0.0,-0.09
1241,-20.14,17.9,-0.32,-2.56,0.1,-0.02,-0.06
1242,-17.36,17.36,-1.97,-1.98,0.11,-0.04,-0.03
1243,-18.47,20.09,-4.72,-3.1,0.11,-0.06,-0.01
1244,-19.03,21.73,-4.17,-1.47,0.11,-0.07,0.0
1245,-20.14,23.92,-5.82,-2.04,0.1,-0.07,0.01
1246,-20.7,26.11,-8.02,-2.6,0.1,-0.08,0.01
1247,-21.25,28.3,-9.12,-2.07,0.09,-0.08,0.02
1248,-21.25,29.39,-10.77,-2.62,0.09,-0.08,0.03
1249,-21.81,30.49,-11.86,-3.19,0.08,-0.08,0.04
1250,-21.81,33.22,-13.51,-2.1,0.07,-0.09,0.05
1251,-21.81,31.58,-13.51,-3.74,0.07,-0.11,0.07
1252,-20.7,31.04,-13.51,-3.18,0.07,-0.13,0.1
1253,-19.03,29.94,-13.51,-2.6,0.06,-0.16,0.13
1254,-17.92,29.39,-12.41,-0.94,0.06,-0.17,0.15
1255,-17.92,29.94,-15.16,-3.14,0.06,-0.18,0.16
1256,-16.25,30.49,-17.91,-3.67,0.06,-0.18,0.16
1257,-14.58,29.94,-17.36,-2.0,0.05,-0.19,0.17
1258,-12.92,29.39,-18.46,-1.98,0.05,-0.19,0.18
1259,-11.81,27.75,-19.56,-3.61,0.04,-0.2,0.19
1260,-10.14,26.66,-19.01,-2.49,0.04,-0.21,0.2
1261,-7.92,26.11,-20.66,-2.46,0.03,-0.21,0.21
1262,-6.25,26.11,-22.31,-2.45,0.03,-0.21,0.21
1263,-4.58,24.47,-22.31,-2.42,0.02,-0.21,0.21
1264,-2.91,23.38,-23.41,-2.95,0.01,-0.21,0.21
1265,-1.25,22.28,-22.86,-1.82,0.0,-0.2,0.21
1266,0.98,20.09,-22.86,-1.79,-0.01,-0.19,0.21
1267,1.53,19.54,-23.96,-2.88,-0.03,-0.18,0.21
1268,0.98,17.9,-22.31,-3.43,-0.05,-0.16,0.22
1269,0.98,16.26,-19.56,-2.32,-0.09,-0.14,0.23
1270,1.53,14.62,-20.11,-3.96,-0.11,-0.12,0.23
1271,2.64,13.53,-17.91,-1.74,-0.14,-0.1,0.23
1272,3.2,12.43,-18.46,-2.83,-0.16,-0.09,0.22
1273,3.2,9.15,-16.81,-4.46,-0.17,-0.07,0.21
1274,5.98,9.15,-15.71,-0.59,-0.17,-0.06,0.2
1275,9.87,6.41,-18.46,-2.18,-0.15,-0.05,0.16
1276,10.98,4.77,-19.56,-3.81,-0.14,-0.04,0.13
1277,10.98,3.13,-16.26,-2.15,-0.14,-0.02,0.11
1278,12.65,2.04,-15.71,-1.03,-0.15,-0.01,0.1
1279,10.98,0.94,-16.26,-4.34,-0.16,0.01,0.09
1280,10.98,0.94,-12.41,-0.49,-0.18,0.04,0.08
1281,10.98,-0.7,-11.86,-1.59,-0.19,0.06,0.07
1282,9.31,-1.25,-10.22,-2.15,-0.2,0.08,0.05
1283,9.31,-1.8,-8.57,-1.05,-0.2,0.09,0.04
1284,9.31,-3.98,-6.37,-1.04,-0.2,0.1,0.03
1285,11.54,-7.81,-5.82,-2.1,-0.18,0.09,0.02
1286,12.09,-9.46,-4.17,-1.53,-0.17,0.1,0.01
1287,11.54,-10.55,-3.07,-2.08,-0.16,0.1,0.0
1288,10.98,-10.55,-2.52,-2.09,-0.15,0.12,-0.02
1289,10.98,-9.46,-1.97,-0.45,-0.15,0.14,-0.05
1290,9.87,-9.46,-3.07,-2.66,-0.14,0.17,-0.08
1291,9.31,-8.36,-1.97,-1.02,-0.14,0.19,-0.11
1292,7.64,-7.27,-1.97,-1.59,-0.14,0.21,-0.13
1293,7.09,-6.17,-2.52,-1.6,-0.13,0.23,-0.16
1294,4.87,-3.98,-1.97,-1.09,-0.13,0.24,-0.18
1295,4.31,-3.98,-2.52,-2.19,-0.12,0.25,-0.19
1296,2.64,-2.89,-2.52,-2.77,-0.11,0.26,-0.21
1297,2.09,-2.34,-1.97,-2.23,-0.1,0.26,-0.22
1298,0.42,-1.25,-0.32,-1.15,-0.09,0.27,-0.22
1299,-0.69,-0.7,-0.32,-1.71,-0.08,0.27,-0.23
1300,-2.36,0.39,0.23,-1.74,-0.07,0.26,-0.24
1301,-3.47,0.94,1.33,-1.2,-0.05,0.26,-0.24
1302,-4.58,1.49,2.43,-0.67,-0.04,0.25,-0.23
1303,-7.36,3.68,1.33,-2.36,-0.03,0.24,-0.23
1304,-7.92,5.32,2.43,-0.17,-0.02,0.23,-0.23
1305,-10.14,6.41,1.88,-1.85,0.0,0.22,-0.23
1306,-10.69,8.05,1.88,-0.76,0.01,0.2,-0.22
1307,-11.25,8.6,1.88,-0.77,0.04,0.18,-0.22
1308,-10.69,9.15,1.88,0.33,0.07,0.16,-0.21
1309,-10.69,9.15,-0.87,-2.42,0.1,0.13,-0.21
1310,-9.03,9.7,-0.32,0.35,0.13,0.11,-0.21
1311,-9.58,12.43,-3.07,-0.22,0.16,0.08,-0.21
